Change Component Footprint: Designator=LED1 Old Footprint=LED_0603(R) New Footprint=LED_0603
Change Component Footprint: Designator=U1 Old Footprint=SSOP_28 New Footprint=SSOP28
Change Component Comment : Designator=LED1 Old Comment=0603C New Comment=PWR_LED
Change Component Comment : Designator=C2 Old Comment=C0603 New Comment=0.1uF
Change Component Comment : Designator=C3 Old Comment=C0603 New Comment=0.1uF
Change Component Comment : Designator=C4 Old Comment=C0603 New Comment=0.1uF
Change Component Comment : Designator=C5 Old Comment=C0603 New Comment=0.1uF
Change Component Comment : Designator=C6 Old Comment=C0603 New Comment=0.1uF
Change Component Comment : Designator=C7 Old Comment=C0603 New Comment=0.1uF
Change Component Comment : Designator=C10 Old Comment=C0603 New Comment=0.1uF
Change Component Comment : Designator=C11 Old Comment=C0603 New Comment=0.1uF
Change Component Comment : Designator=C12 Old Comment=C0603 New Comment=0.1uF
Change Component Comment : Designator=C15 Old Comment=C0603 New Comment=0.1uF
Change Component Comment : Designator=C1 Old Comment=C0603 New Comment=1uF
Change Component Comment : Designator=C13 Old Comment=C0603 New Comment=10uF
Change Component Comment : Designator=C8 Old Comment=C0603 New Comment=20P
Change Component Comment : Designator=C9 Old Comment=C0603 New Comment=20P
Change Component Comment : Designator=EC2 Old Comment=CED-6_3-2_5 New Comment=100uF
Change Component Comment : Designator=EC3 Old Comment=CED-6_3-2_5 New Comment=100uF
Change Component Comment : Designator=EC4 Old Comment=CED-6_3-2_5 New Comment=100uF
Change Component Comment : Designator=EC5 Old Comment=CED-6_3-2_5 New Comment=100uF
Change Component Comment : Designator=F1 Old Comment=L0805 New Comment=6V2A
Change Component Comment : Designator=UP1 Old Comment=Micro-USB New Comment=SMD USB Micro
Change Component Comment : Designator=R1 Old Comment=R0603 New Comment=10K
Change Component Comment : Designator=R6 Old Comment=R0603 New Comment=10K
Change Component Comment : Designator=R7 Old Comment=R0603 New Comment=20K
Change Component Comment : Designator=R5 Old Comment=R0603 New Comment=47K
Change Component Comment : Designator=R4 Old Comment=R0603 New Comment=100K
Change Component Comment : Designator=R2 Old Comment=R0603 New Comment=470R
Change Component Comment : Designator=R3 Old Comment=R0603 New Comment=680R 1%
Change Component Comment : Designator=LB1 Old Comment=R0603 New Comment=FB
Change Component Comment : Designator=LB2 Old Comment=R0603 New Comment=FB
Change Component Comment : Designator=LB3 Old Comment=R0603 New Comment=FB
Change Component Comment : Designator=LB4 Old Comment=R0603 New Comment=FB
Change Component Comment : Designator=LB5 Old Comment=R0603 New Comment=FB
Change Component Comment : Designator=LB6 Old Comment=R0603 New Comment=FB
Change Component Comment : Designator=U1 Old Comment=SSOP28 New Comment=GL850AUSB
Change Component Comment : Designator=X1 Old Comment=XTAL-49SMA-H4.2 New Comment=12MHz
